Id,Brand,Model,Rank,Benchmark
2148,Intel,Core i7-8700K,24,94
2149,Intel,Core i5-9600K,23,94.2
2150,Intel,Core i7-8086K,22,94.2
2151,Intel,Core i5-9600,29,92.7
2152,Intel,Core i5-2400,317,68.7
2153,AMD,Ryzen 9 4900H,79,84.5
2154,Intel,Core i7-5960X,81,84.3
2155,Intel,Core i7-3960X,137,79.5
2156,AMD,Ryzen 5 2600X,136,79.5
2157,AMD,Ryzen TR 2950X,135,79.5
2158,Intel,Core i3-8300,134,79.6
2159,Intel,Core i5-9400H,133,79.6
2160,Intel,Core i5-10300H,132,79.7
2161,Intel,Core i7-3970X,131,79.7
2162,Intel,Core i7-8559U,138,79.3
2163,Intel,Core i5-10400T,130,79.8
2164,Intel,Core i7-7700,128,79.9
2165,Intel,Core i7-7800X,127,80
2166,AMD,Ryzen 5 4600HS,126,80
2167,AMD,Ryzen 7 4700G,125,80.1
2168,Intel,Xeon E5-1650 v3,124,80.2
2169,Intel,Xeon E3-1270 v6,123,80.4
2170,Intel,Xeon E3-1286 v3,122,80.4
2171,Intel,Core i5-6600K,129,79.9
2172,Intel,Core i7-4960X,121,80.4
2173,Intel,Core i5-4690K,139,79.2
2174,Intel,Xeon E5-1650 v2,141,79.2
2175,Intel,Core i5-4670K,157,77.7
2176,Intel,Core i5-8500T,156,77.8
2177,AMD,Ryzen 7 4700U,155,77.9
2178,Intel,Core i7 X 990,154,78.1
2179,Intel,Core i5-7600,153,78.1
2180,Intel,Core i3-10100T,152,78.2
2181,Intel,Core i7 X 000,151,78.2
2182,Intel,Core i7-4930K,140,79.2
2183,Intel,Xeon E3-1230 v6,150,78.3
2184,Intel,Core i7-5950HQ,148,78.4
2185,Intel,Xeon W3690,147,78.5
2186,Intel,Core i7-8750H,146,78.5
2187,Intel,Core i7-5775R,145,78.5
2188,AMD,Ryzen TR 2970WX,144,78.8
2189,AMD,Ryzen 5 4600H,143,79
2190,Intel,Core i5-10400H,142,79.1
2191,Intel,Core i9-8950HK,149,78.4
2192,Intel,Core i7-9800X,80,84.3
2193,Intel,Core i3-9100F,120,80.5
2194,AMD,Ryzen TR 2920X,118,80.5
2195,Intel,Core i5-7600K,97,83.1
2196,Intel,Core i9-9980XE,96,83.2
2197,Intel,Core i9-7900X,95,83.4
2198,Intel,Core i7-4790K,94,83.4
2199,AMD,Ryzen 5 3500,93,83.5
2200,Intel,Core i7-6700K,92,83.5
2201,Intel,Core i9-9980HK,91,83.6
2202,Intel,Core i7-5775C,98,83
2203,AMD,Ryzen 5 3600,90,83.6
2204,AMD,Ryzen 7 4800HS,88,84
2205,Intel,Core i9-7940X,87,84
2206,AMD,Ryzen 7 4800H,86,84
2207,AMD,Ryzen TR 3970X,85,84.1
2208,Intel,Core i9-10980XE,84,84.2
2209,Intel,Core i3-8350K,83,84.2
2210,Intel,Core i3-10100,82,84.2
2211,Intel,Core i9-9820X,89,83.8
2212,Intel,Core i5-10200H,119,80.5
2213,Intel,Core i7-6800K,99,82.9
2214,Intel,Core i7-8700T,101,82.7
2215,Intel,Core i7-9750H,117,80.6
2216,Intel,Core i7-8809G,116,80.7
2217,Intel,Core i3-10300T,115,80.7
2218,Intel,Core i9-7980XE,114,80.7
